tv_count,tp_count,target_circle
8,0,on/off road
8,0,on/off road
8,0,on/off road
8,0,on/off road
10,0,on/off road
10,0,on/off road
10,0,on/off road
10,0,on/off road
10,1,on/off road
10,1,on/off road
10,1,on/off road
10,1,on/off road
7,2,on/off road
7,2,on/off road
7,2,on/off road
8,0,on/off road
8,0,on/off road
8,0,on/off road
8,1,on/off road
8,1,on/off road
8,1,on/off road
8,1,on/off road
8,1,on/off road
7,2,vehicle
7,2,vehicle
7,1,on/off road
6,1,on/off road
6,1,on/off road
6,1,on/off road
6,1,on/off road
6,1,on/off road
6,1,on/off road
6,1,on/off road
7,2,vehicle
7,2,vehicle
7,2,vehicle
7,1,on/off road
7,1,on/off road
7,1,on/off road
7,1,on/off road
7,1,on/off road
7,1,on/off road
7,1,on/off road
7,1,on/off road
7,1,on/off road
8,1,on/off road
9,1,on/off road
9,1,on/off road
8,2,on/off road
8,2,on/off road
9,0,on/off road
9,0,on/off road
9,0,on/off road
7,1,on/off road
7,1,on/off road
7,2,on/off road
7,2,on/off road
7,2,on/off road
7,1,on/off road
7,1,on/off road
7,1,on/off road
7,1,on/off road
9,1,on/off road
10,1,on/off road
11,0,on/off road
11,0,on/off road
11,0,on/off road
10,0,vehicle
10,0,vehicle
6,0,on/off road
6,0,on/off road
7,0,vehicle
7,0,vehicle
7,0,vehicle
6,0,vehicle
6,0,vehicle
6,0,vehicle
5,0,on/off road
5,0,on/off road
5,0,on/off road
4,0,on/off road
4,0,on/off road
4,0,on/off road
5,0,on/off road
5,0,on/off road
5,0,on/off road
5,0,on/off road
6,0,vehicle
6,0,vehicle
6,0,vehicle
6,0,vehicle
6,0,vehicle
6,0,vehicle
6,0,vehicle
6,0,vehicle
6,0,on/off road
6,0,on/off road
6,0,on/off road
5,0,on/off road
5,0,on/off road
5,0,on/off road
5,0,on/off road
6,0,on/off road
6,0,on/off road
6,0,on/off road
5,0,on/off road
5,0,on/off road
5,0,on/off road
5,0,on/off road
5,0,on/off road
6,0,on/off road
6,0,on/off road
5,0,on/off road
5,0,on/off road
4,0,on/off road
5,0,on/off road
5,0,on/off road
5,0,on/off road
5,0,on/off road
5,0,on/off road
6,0,on/off road
5,0,on/off road
5,0,on/off road
4,2,on/off road
4,2,on/off road
4,2,on/off road
4,2,on/off road
5,2,on/off road
5,2,on/off road
5,1,vehicle
5,1,vehicle
6,1,vehicle
7,2,on/off road
7,2,on/off road
7,2,on/off road
7,2,on/off road
6,2,on/off road
6,2,on/off road
6,2,on/off road
7,2,vehicle
7,2,vehicle
7,2,vehicle
7,2,vehicle
7,2,vehicle
7,2,vehicle
7,2,vehicle
7,1,vehicle
7,1,vehicle
7,1,vehicle
7,1,vehicle
7,2,vehicle
7,2,vehicle
7,2,vehicle
7,2,vehicle
